Date,Open,High,Low,Close,Adj Close,Volume
6/6/2017,4350,4350,4300,4310,3817.29541,99538800
6/7/2017,4350,4350,4290,4320,3826.1521,99176400
6/8/2017,4320,4320,4300,4300,3808.438477,88979800
6/9/2017,4370,4380,4320,4330,3835.009033,137960200
6/12/2017,4320,4340,4310,4330,3835.009033,52481100
6/13/2017,4340,4360,4330,4360,3861.579102,61967400
6/14/2017,4380,4380,4330,4360,3861.579102,72198600
6/15/2017,4350,4370,4330,4360,3861.579102,50887900
6/16/2017,4330,4440,4330,4370,3870.436279,267351200
6/19/2017,4400,4420,4390,4400,3897.006592,48458800
6/20/2017,4420,4510,4400,4490,3976.718018,93396600
6/21/2017,4480,4530,4460,4520,4003.288818,116596300
6/22/2017,4540,4540,4500,4520,4003.288818,76420700
6/23/2017,4520,4520,4520,4520,4003.288818,0
6/26/2017,4520,4520,4520,4520,4003.288818,0
6/27/2017,4520,4520,4520,4520,4003.288818,0
6/28/2017,4520,4520,4520,4520,4003.288818,0
6/29/2017,4520,4520,4520,4520,4003.288818,0
6/30/2017,4520,4520,4520,4520,4003.288818,0
7/3/2017,4530,4790,4520,4790,4242.42334,213322100
7/4/2017,4710,4730,4590,4590,4065.286133,126977200
7/5/2017,4550,4590,4530,4580,4056.429932,76950600
7/6/2017,4570,4680,4570,4650,4118.427734,74712800
7/7/2017,4640,4690,4630,4630,4100.714355,74859600
7/10/2017,4670,4670,4560,4570,4047.573242,40905200
7/11/2017,4590,4640,4560,4600,4074.143311,59015400
7/12/2017,4580,4640,4580,4620,4091.856934,42386500
7/13/2017,4660,4680,4580,4600,4074.143311,83010800
7/14/2017,4580,4620,4570,4600,4074.143311,61198800
7/17/2017,4570,4650,4570,4650,4118.427734,53983200
7/18/2017,4660,4660,4590,4630,4100.714355,63087200
7/19/2017,4630,4630,4570,4600,4074.143311,31882000
7/20/2017,4620,4650,4600,4630,4100.714355,65946300
7/21/2017,4600,4620,4530,4560,4038.716064,61852600
7/24/2017,4500,4650,4500,4650,4118.427734,139361700
7/25/2017,4680,4740,4640,4720,4180.425781,82776400
7/26/2017,4700,4740,4650,4700,4162.711426,65286900
7/27/2017,4700,4720,4650,4650,4118.427734,79556300
7/28/2017,4670,4720,4660,4700,4162.711426,77012600
7/31/2017,4680,4750,4670,4690,4153.85498,105620500
8/1/2017,4700,4820,4690,4770,4224.709473,98006400
8/2/2017,4800,4840,4780,4800,4251.279785,76646000
8/3/2017,4760,4790,4670,4700,4162.711426,57453500
8/4/2017,4700,4710,4660,4670,4136.141113,53596700
8/7/2017,4670,4730,4660,4670,4136.141113,50259300
8/8/2017,4650,4690,4650,4690,4153.85498,55006100
8/9/2017,4670,4720,4670,4710,4171.568359,67040700
8/10/2017,4720,4730,4700,4710,4171.568359,36139000
8/11/2017,4690,4700,4660,4680,4144.998535,61681900
8/14/2017,4720,4730,4700,4710,4171.568359,45942500
8/15/2017,4750,4750,4710,4730,4189.282715,62541500
8/16/2017,4750,4780,4730,4770,4224.709473,72564900
8/17/2017,4770,4770,4770,4770,4224.709473,0
8/18/2017,4770,4820,4770,4780,4233.566406,72171800
8/21/2017,4800,4800,4730,4770,4224.709473,36963300
8/22/2017,4800,4810,4770,4790,4242.42334,45279100
8/23/2017,4800,4810,4750,4800,4251.279785,55475800
8/24/2017,4800,4800,4760,4780,4233.566406,59747100
8/25/2017,4800,4810,4770,4770,4224.709473,34666200
8/28/2017,4740,4770,4720,4750,4206.995605,42681600
8/29/2017,4740,4760,4710,4730,4189.282715,66770700
8/30/2017,4720,4760,4720,4740,4198.13916,41010800
8/31/2017,4740,4750,4690,4690,4153.85498,60803000
9/1/2017,4690,4690,4690,4690,4153.85498,0
9/4/2017,4710,4710,4660,4680,4144.998535,74663400
9/5/2017,4670,4680,4620,4650,4118.427734,71280300
9/6/2017,4650,4730,4650,4710,4171.568359,60257800
9/7/2017,4700,4730,4690,4700,4162.711426,47238900
9/8/2017,4670,4720,4670,4720,4180.425781,40939600
9/11/2017,4710,4720,4700,4710,4171.568359,45419200
9/12/2017,4720,4730,4700,4720,4180.425781,68810000
9/13/2017,4650,4730,4650,4690,4153.85498,55115400
9/14/2017,4690,4700,4660,4670,4136.141113,53421400
9/15/2017,4650,4700,4650,4690,4153.85498,112759200
9/18/2017,4680,4720,4660,4710,4171.568359,61345400
9/19/2017,4690,4720,4680,4710,4171.568359,54676900
9/20/2017,4690,4710,4680,4690,4153.85498,58141200
9/21/2017,4690,4690,4690,4690,4153.85498,0
9/22/2017,4690,4690,4610,4640,4109.570313,100046700
9/25/2017,4620,4670,4610,4650,4118.427734,33070000
9/26/2017,4640,4710,4640,4690,4153.85498,83557100
9/27/2017,4690,4710,4680,4700,4162.711426,60995800
9/28/2017,4720,4740,4710,4710,4171.568359,105241200
9/29/2017,4700,4750,4670,4680,4144.998535,202031900
10/2/2017,4690,4690,4660,4680,4144.998535,79696400
10/3/2017,4650,4700,4640,4690,4153.85498,113933700
10/4/2017,4660,4710,4660,4690,4153.85498,101963100
10/5/2017,4680,4690,4640,4660,4127.28418,164687600
10/6/2017,4680,4680,4630,4660,4127.28418,83595800
